DBN,School Name,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses,latitude,longitude
10X228,Jonas Bronck Academy,1,0,0,1,40.8609745,-73.8918856
10X244,The New School for Leadership and Journalism,1,0,1,0,40.8755482,-73.9014543
10X264,Bronx Academy for Software Engineering (BASE),5,1,5,0,40.855428,-73.8824269
10X280,P.S./M.S. 280 Mosholu Parkway,2,0,0,2,40.8771786,-73.8815462
10X306,P.S. 306,4,0,0,4,40.8517818,-73.9103828
10X340,P.S. 340,2,0,0,2,40.7390049,-73.9950798
10X342,International School for Liberal Arts,2,0,2,0,40.8704419,-73.8969425
10X368,In-Tech Academy (M.S. / High School 368),1,1,1,0,40.8790734,-73.91136399999999
10X391,The Angelo Patri Middle School,1,0,0,1,40.8546548,-73.8970362
10X396,P.S. 396,4,0,0,4,40.8545398,-73.913069
10X434,Belmont Preparatory High School,1,1,1,0,40.859745,-73.8889999
10X437,Fordham High School for the Arts,2,1,2,0,40.85954230000001,-73.8885964
10X440,DeWitt Clinton High School,1,0,1,0,40.8815104,-73.8868206
10X445,Bronx High School of Science,1,1,1,0,40.8783912,-73.8911437
10X504,Kennedy YABC,2,0,2,0,40.8776412,-73.913386
10X565,High School for Energy and Technology,2,0,2,0,40.8552601,-73.8824187
11X127,J.H.S. 127 The Castle Hill,3,0,3,0,40.8380724,-73.8531107
11X160,P.S. 160 Walt Disney,6,0,0,6,40.8643078,-73.82398640000001
11X178,P.S. 178 - Dr. Selman Waksman,5,0,5,0,40.8751476,-73.8329925
11X270,Academy for Scholarship and Entrepreneurship: A Co,1,1,1,0,40.8881,-73.8525626
11X455,Harry S Truman High School,3,1,3,0,40.874285,-73.83332899999999
11X544,High School for Contemporary Arts,1,0,1,0,40.8754301,-73.8614779
11X556,Bronx Park Middle School,1,0,1,0,40.8625741,-73.86476259999999
12X047,P.S. 047 John Randolph,6,0,0,6,40.8325729,-73.8669915
12X211,P.S. 211,3,0,0,3,40.8436717,-73.8900717
12X271,East Bronx Academy for the Future,1,0,1,0,40.8368092,-73.8876647
12X300,The School of Science and Applied Learning,1,0,0,1,40.8458848,-73.8871784
12X511,Bronx Envision Academy,3,1,3,0,40.8363157,-73.8907414
12X682,Fannie Lou Hamer Freedom High School,9,0,1,8,40.8310848,-73.8856211
12X684,Wings Academy,1,1,1,0,40.8416,-73.8752
13K003,P.S. 003 The Bedford Village,1,0,1,0,40.68241039999999,-73.955396
13K009,P.S. 009 Teunis G. Bergen,3,0,0,3,40.67833359999999,-73.9657864
13K011,P.S. 011 Purvis J. Behan,5,0,5,0,40.6854783,-73.9659793
13K054,P.S. 054 Samuel C. Barnes,6,0,0,6,40.6926238,-73.9526679
13K265,Dr. Susan S. McKinney Secondary School of the Arts,2,0,2,0,40.6969046,-73.9759851
13K419,"Science Skills Center High School for Science, Tec",4,2,4,0,40.6975008,-73.9847715
13K430,Brooklyn Technical High School,7,2,7,0,40.6890301,-73.9766894
13K499,ACORN Community High School,1,1,1,0,40.6785854,-73.9619432
13K595,Bedford Academy High School,1,1,1,0,40.6854115,-73.9541773
13K605,George Westinghouse Career and Technical Education,6,1,6,0,40.69586290000001,-73.9855862
14K071,Juan Morel Campos Secondary School,2,0,2,0,40.7043785,-73.9531909
14K084,P.S. 084 Jose De Diego,8,0,8,0,40.7148137,-73.9633052
14K318,I.S. 318 Eugenio Maria De Hostos,3,0,3,0,40.70351160000001,-73.9484126
14K414,Brooklyn Arbor Elementary School,5,0,5,0,40.7098846,-73.95466329999999
14K454,Green School: An Academy for Environmental Careers,2,0,2,0,40.70974229999999,-73.9445006
14K477,School for Legal Studies,1,1,1,0,40.7180,-74.0069
14K561,Williamsburg Preparatory School,2,0,2,0,40.715345,-73.9547924
14K586,Lyons Community School,2,0,2,0,40.7097646,-73.9445188
14K610,Automotive High School,2,0,2,0,40.7224451,-73.9532235
14K614,Young Women's Leadership School of Brooklyn,2,1,2,0,40.7049818,-73.9388221
14K632,Frances Perkins Academy,1,0,1,0,40.7222353,-73.95329389999999
15K029,P.S. 029 John M. Harrigan,5,0,0,5,40.6869221,-73.99784740000001
15K107,P.S. 107 John W. Kimball,2,0,0,2,40.6630151,-73.9811247
15K130,P.S. 130 The Parkside,2,0,2,0,40.6489389,-73.9758586
15K131,P.S. 131 Brooklyn,1,0,0,1,40.640773,-73.9933453
15K442,M.S. 442 Carroll Gardens School for Innovation,3,0,1,2,40.656408,-73.9825716
15K463,Secondary School for Journalism,1,1,1,0,40.6695477,-73.9785277
15K516,Sunset Park Avenues Elementary School,4,0,0,4,40.6507728,-74.0086993
15K519,Cobble Hill School of American Studies,1,0,1,0,40.6851042,-73.9907247
15K667,Sunset Park High School,3,1,3,0,40.6555967,-74.004217
15K684,Millennium Brooklyn HS,2,1,2,0,40.6693177,-73.97864109999999
15K821,Sunset Park Prep,1,0,0,1,40.6519004,-74.0073173
16K005,P.S. 005 Dr. Ronald Mcnair,6,0,3,3,40.68554719999999,-73.9225536
16K021,P.S. 021 Crispus Attucks,2,0,0,2,40.6804739,-73.9262024
16K025,P.S. 025 Eubie Blake School,6,0,0,6,40.6913146,-73.9406814
16K628,Brooklyn Brownstone School,6,0,6,0,40.68184900000001,-73.935034
16K688,The Brooklyn Academy of Global Finance,3,0,2,1,40.691246,-73.933464
17K006,Norma Adams Clemons Academy,6,0,2,4,40.6490449,-73.9561961
17K012,Dr. Jacqueline Peek-Davis School,1,0,0,1,40.6730157,-73.919862
17K092,P.S. 092 Adrian Hegeman,1,0,0,1,40.6562316,-73.95378939999999
17K122,Pathways in Technology Early College High School,8,0,8,0,40.6759682,-73.9392494
17K189,P.S. 189 The Bilingual Center,6,0,6,0,40.6654464,-73.92568059999999
17K241,P.S. 241 Emma L. Johnston,6,0,6,0,40.6690108,-73.9605942
17K289,P.S. 289 George V. Brower,6,0,6,0,40.6746387,-73.94262359999999
17K316,P.S. 316 Elijah Stroud,2,0,0,2,40.67453,-73.9612045
17K375,P.S. 375 Jackie Robinson School,6,0,6,0,40.6648721,-73.9595858
17K528,The High School for Global Citizenship,1,1,1,0,40.66995610000001,-73.9611201
17K531,The School for Human Rights,2,0,2,0,40.6594626,-73.9431943
17K547,Brooklyn Academy of Science and the Environment,1,1,1,0,40.6700279,-73.96105519999999
17K590,Medgar Evers College Preparatory School,1,1,1,0,40.667,-73.95101360000001
17K600,Clara Barton High School,1,1,1,0,40.6691812,-73.9613952
17K745,Brooklyn Institute for Liberal Arts,1,0,0,1,40.6590114,-73.9438681
18K066,P.S. 66,1,0,1,0,40.64864619999999,-73.90685069999999
18K068,I.S. 068 Isaac Bildersee,3,0,0,3,40.6351788,-73.9107543
18K208,P.S. 208 Elsa Ebeling,6,0,0,6,40.6425674,-73.93077900000002
18K268,P.S. 268 Emma Lazarus,6,0,0,6,40.6573056,-73.9277575
18K366,The Science And Medicine Middle School,1,0,1,0,40.6474562,-73.8918449
18K563,It Takes a Village Academy,6,1,4,2,40.6477763,-73.9215436
18K576,Victory Collegiate High School,2,0,2,0,40.6335601,-73.9173831
18K589,Arts & Media Preparatory Academy,2,0,0,2,40.658679,-73.928761
18K617,High School for Innovation in Advertising and Medi,4,1,4,0,40.6407861,-73.8979465
18K637,Academy for Conservation and the Environment,2,0,2,0,40.6335392,-73.9174422
18K763,Brooklyn Science and Engineering Academy,1,0,0,1,40.6482463,-73.9254766
19K013,P.S. 013 Roberto Clemente,1,0,0,1,40.6637454,-73.893597
19K065,P.S. 065,6,0,0,6,40.6870357,-73.8784075
19K328,P.S. 328 Phyllis Wheatley,1,0,0,1,40.6675716,-73.8984399
19K364,I.S. 364 Gateway,3,0,3,0,40.6461628,-73.8788074
19K404,Academy for Young Writers,1,1,1,0,40.6573474,-73.8742573
19K409,East New York Family Academy,1,1,1,0,40.6738372,-73.8960768
19K507,Performing Arts and Technology High School,3,0,3,0,40.66699029999999,-73.8947048
19K583,Multicultural High School,1,0,1,0,40.69300519999999,-73.8690682
19K615,Transit Tech Career and Technical Education High S,1,0,1,0,40.6788665,-73.8753066
19K639,Brooklyn Lab School,1,0,1,0,40.6928503,-73.8689912
19K678,East New York Middle School of Excellence,3,0,1,2,40.6694182,-73.8792113
20K030,P.S./I.S. 30 Mary White Ovington,2,0,2,0,40.6335649,-74.0242775
20K105,P.S. 105 The Blythebourne,6,0,0,6,40.6332028,-74.0035675
20K112,P.S. 112 Lefferts Park,6,0,0,6,40.6194259,-74.0005663
20K160,P.S. 160 William T. Sampson,6,0,6,0,40.636927,-73.999028
20K176,P.S. 176 Ovington,1,0,0,1,40.6247994,-74.0053435
20K180,The SEEALL Academy,6,0,4,2,40.6266671,-73.98949209999999
20K205,P.S. 205 Clarion,6,0,6,0,40.6149496,-73.98706729999999
20K220,J.H.S. 220 John J. Pershing,3,0,3,0,40.6407804,-74.0009541
20K227,J.H.S. 227 Edward B. Shallow,1,0,1,0,40.6218446,-73.9955288
20K259,J.H.S. 259 William Mckinley,3,0,1,2,40.6263578,-74.0150438
20K445,New Utrecht High School,3,0,3,0,40.61331060000001,-74.00235409999999
20K485,High School of Telecommunication Arts and Technolo,5,1,5,0,40.6368194,-74.0234028
20K490,Fort Hamilton High School,1,0,1,0,40.6270478,-74.0393978
20K505,Franklin Delano Roosevelt High School,8,1,8,0,40.6213,-73.9826
20K682,The Academy of Talented Scholars,6,0,0,6,40.6070076,-73.9868516
20K686,Brooklyn School of Inquiry,5,0,5,0,40.6070001,-73.9868528
20K748,P.S. 748 Brooklyn School for Global Scholars,3,0,0,3,40.6069424,-74.0073269
21K096,I.S. 096 Seth Low,3,0,2,1,40.6077537,-73.98468969999999
21K177,P.S. 177 The Marlboro,5,0,1,4,40.6084307,-73.9744123
21K199,P.S. 199 Frederick Wachtel,1,0,0,1,40.6165327,-73.96314600000001
21K216,P.S. 216 Arturo Toscanini,6,0,0,6,40.5903571,-73.9697217
21K238,P.S. 238 Anne Sullivan,3,0,3,0,40.6086588,-73.9647478
21K281,I.S. 281 Joseph B Cavallaro,1,0,1,0,40.5944895,-73.9940319
21K348,High School of Sports Management,1,1,1,0,40.5935726,-73.985987
21K410,Abraham Lincoln High School,1,1,1,0,40.5826,-73.9685
21K525,Edward R. Murrow High School,3,2,3,0,40.61985079999999,-73.9591523
21K540,John Dewey High School,3,2,3,0,40.5873209,-73.9824892
21K559,Life Academy High School for Film and Music,1,1,1,0,40.5935726,-73.985987
21K572,Expeditionary Learning School for Community Leader,3,0,3,0,40.5935726,-73.985987
21K690,Brooklyn Studio Secondary School,1,1,1,0,40.6047202,-73.9948995
22K014,J.H.S. 014 Shell Bank,2,0,0,2,40.5935405,-73.9381319
22K203,P.S. 203 Floyd Bennett School,1,0,0,1,40.6218603,-73.9254137
22K222,P.S. 222 Katherine R. Snyder,6,0,0,6,40.613732,-73.93881069999999
22K234,J.H.S. 234 Arthur W. Cunningham,3,0,3,0,40.604425,-73.9552911
22K236,P.S. 236 Mill Basin,5,0,5,0,40.6158515,-73.9126625
22K251,P.S. 251 Paerdegat,6,0,6,0,40.6312727,-73.9238484
22K254,P.S. 254 Dag Hammarskjold,2,0,0,2,40.5907035,-73.9512984
22K277,P.S. 277 Gerritsen Beach,6,0,4,2,40.59587310000001,-73.9279653
22K278,J.H.S. 278 Marine Park,2,0,0,2,40.6064253,-73.9386727
22K405,Midwood High School,4,1,4,0,40.632833,-73.9523773
22K425,James Madison High School,5,1,5,0,40.6105,-73.9477
22K535,Leon M. Goldstein High School for the Sciences,5,1,5,0,40.5804143,-73.9351779
22K630,Professional Pathways High School,1,0,1,0,40.5934143,-73.9367893
23K178,P.S. 178 Saint Clair Mckelway,1,0,1,0,40.6752336,-73.91530639999999
23K392,I.S. 392,2,0,2,0,40.6654603,-73.9180681
23K514,Frederick Douglass Academy VII High School,2,0,1,1,40.6655301,-73.9120609
23K646,Aspirations Diploma Plus High School,1,1,1,0,40.6694696,-73.9552235
24Q007,P.S. 007 Louis F. Simeone,4,0,0,4,40.7397494,-73.8825748
24Q013,P.S. 013 Clement C. Moore,1,0,0,1,40.7373286,-73.86789999999999
24Q049,P.S. 049 Dorothy Bonawit Kole,7,0,4,3,40.7195174,-73.8750342
24Q058,P.S. 58 - The School of Heroes,6,0,0,6,40.7285126,-73.89058179999999
24Q068,P.S. 068 Cambridge,6,0,0,6,40.6968584,-73.8973882
24Q071,P.S. 071 Forest,5,0,0,5,40.7113301,-73.9051212
24Q089,P.S. 089 Elmhurst,2,0,2,0,40.7459533,-73.8796485
24Q093,I.S. 093 Ridgewood,2,0,0,2,40.7058249,-73.9027571
24Q110,P.S. 110,1,0,0,1,40.7235958,-73.94202899999999
24Q119,I.S. 119 The Glendale,9,0,0,9,40.705198,-73.875033
24Q125,I.S. 125 Thom J. McCann Woodside,1,0,0,1,40.7408445,-73.91867409999999
24Q153,P.S. 153 Maspeth Elem,6,0,0,6,40.7161348,-73.9042458
24Q229,P.S. 229 Emanuel Kaplan,6,0,0,6,40.73448459999999,-73.897257
24Q264,Academy of Finance and Enterprise,1,0,1,0,40.7444771,-73.93679089999999
24Q299,Bard High School Early College Queens,2,0,2,0,40.7449799,-73.93683779999999
24Q305,Learners and Leaders,2,0,0,2,40.706955,-73.914959
24Q455,Newtown High School,19,0,18,1,40.7411032,-73.87396629999999
24Q485,Grover Cleveland High School,6,1,6,0,40.7114458,-73.908879
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",1,1,1,0,40.7414532,-73.9369376
24Q600,Queens Vocational and Technical High School,11,0,11,0,40.741945,-73.9279999
24Q610,Aviation Career & Technical Education High School,1,0,1,0,40.743581,-73.9292176
24Q877,The 51 Avenue Academy (The Path To Academic Excell,2,0,2,0,40.737207,-73.887005
25Q021,P.S. 021 Edward Hart,5,0,1,4,40.7741475,-73.81859030000001
25Q032,P.S. 032 State Street,3,0,0,3,40.7650099,-73.79431939999999
25Q079,P.S. 079 Francis Lewis,6,0,6,0,40.7859588,-73.8173491
25Q120,P.S. 120 Queens,3,0,2,1,40.74525310000001,-73.8291617
25Q163,P.S. 163 Flushing Heights,5,0,5,0,40.741093,-73.808757
25Q164,P.S. 164 Queens Valley,7,0,0,7,40.7211586,-73.8231641
25Q184,P.S. 184 Flushing Manor,6,0,0,6,40.7785584,-73.7997479
25Q185,J.H.S. 185 Edward Bleeker,2,0,2,0,40.7751216,-73.81849989999999
25Q214,P.S. 214 Cadwallader Colden,6,0,6,0,40.77016390000001,-73.8279177
25Q219,P.S. 219 Paul Klapper,2,0,0,2,40.7358552,-73.82358339999999
25Q240,Veritas Academy,3,1,3,0,40.7650,-73.8269
25Q241,Queens High School for Language Studies,2,0,2,0,40.7649086,-73.827688
25Q252,The Queens School of Inquiry,2,0,2,0,40.724215,-73.8090435
25Q281,East-West School of International Studies,2,1,2,0,40.74943,-73.82141
25Q285,World Journalism Preparatory: A College Board Scho,18,0,5,13,40.764698,-73.789823
25Q425,John Bowne High School,5,2,4,1,40.7390168,-73.8244445
25Q525,Townsend Harris High School,3,2,3,0,40.7350157,-73.82129929999999
26Q031,P.S. 031 Bayside,6,0,6,0,40.7575739,-73.7690116
26Q074,J.H.S. 074 Nathaniel Hawthorne,3,0,3,0,40.7453776,-73.7673097
26Q098,P.S. 098 The Douglaston School,6,0,0,6,40.7690486,-73.7496704
26Q133,P.S. 133 Queens,4,0,0,4,40.7319395,-73.71778069999999
26Q172,Irwin Altman Middle School 172,3,0,2,1,40.7417121,-73.7132
26Q173,P.S. 173 Fresh Meadows,1,0,1,0,40.7341387,-73.79527910000002
26Q178,P.S./ IS 178 Holliswood,6,0,0,6,40.7243138,-73.77701449999999
26Q188,P.S. 188 Kingsbury,6,0,6,0,40.7361834,-73.7533236
26Q203,P.S. 203 Oakland Gardens,2,0,0,2,40.7535633,-73.7599913
26Q205,P.S. 205 Alexander Graham Bell,6,0,6,0,40.73801,-73.75638099999999
26Q213,P.S. 213 The Carl Ullman School,4,0,0,4,40.7475096,-73.7455307
26Q216,J.H.S. 216 George J. Ryan,1,0,1,0,40.7373644,-73.7941586
26Q415,Benjamin N. Cardozo High School,2,1,2,0,40.7524027,-73.7571324
26Q430,Francis Lewis High School,1,1,1,0,40.7404499,-73.79359269999999
26Q435,Martin Van Buren High School,5,0,2,3,40.7336309,-73.7391435
26Q495,Bayside High School,5,1,5,0,40.758556,-73.765434
26Q566,Queens High School of Teaching,1,1,1,0,40.744121,-73.728799
27Q047,P.S. 047 Chris Galas,6,0,0,6,40.6064673,-73.8207865
27Q062,P. S. 62 - Chester Park School,6,0,6,0,40.6886138,-73.83589169999999
27Q063,P.S. 063 Old South,6,0,5,1,40.6769054,-73.8469172
27Q066,P.S. 066 Jacqueline Kennedy Onassis,6,0,0,6,40.6979499,-73.84599039999999
27Q090,P.S. 090 Horace Mann,2,0,2,0,40.6967154,-73.8392673
27Q096,P.S. 096,6,0,0,6,40.8609306,-73.868675
27Q183,P.S. 183 Dr. Richard R. Green,7,0,7,0,40.5896013,-73.805598
27Q197,P.S. 197 The Ocean School,5,0,0,5,40.5999511,-73.7443157
27Q207,P.S. 207 Rockwood Park,3,0,3,0,40.6577255,-73.8441216
27Q254,P.S. 254 - The Rosa Parks School,3,0,0,3,40.697177,-73.847866
27Q302,Queens High School for Information,4,1,4,0,40.601532,-73.76397899999999
27Q308,Robert H. Goddard High School of Communication Art,3,1,3,0,40.6712332,-73.8457261
27Q309,Academy of Medical Technology: A College Board Sch,1,1,1,0,40.6015311,-73.7639639
27Q480,John Adams High School,4,1,4,0,40.6787,-73.8370
28Q086,P.S. Q086,1,0,0,1,40.7093671,-73.8035613
28Q157,J.H.S. 157 Stephen A. Halsey,5,0,4,1,40.7323207,-73.85294999999999
28Q160,P.S. 160 Walter Francis Bishop,5,0,0,5,40.688145,-73.80000330000001
28Q174,P.S. 174 William Sidney Mount,4,0,0,4,40.7205669,-73.8614407
28Q190,J.H.S. 190 Russell Sage,3,0,3,0,40.72326700000001,-73.8517411
28Q284,York Early College Academy,1,0,1,0,40.697102,-73.7865575
28Q312,Jamaica Children's School,3,0,0,3,40.6939962,-73.7908183
28Q325,Hillside Arts & Letters Academy,2,1,2,0,40.7142819,-73.7980413
28Q332,Redwood Middle School,2,0,2,0,40.6749,-73.7758
28Q358,M.S. 358,2,0,2,0,40.7083272,-73.7982612
28Q440,Forest Hills High School,2,1,2,0,40.7297115,-73.84492589999999
28Q505,Hillcrest High School,1,1,1,0,40.7091,-73.8023
28Q620,Thomas A. Edison Career and Technical Education,1,0,1,0,40.7162714,-73.7983076
28Q680,Queens Gateway to Health Sciences Secondary School,1,1,1,0,40.7184027,-73.8058922
29Q035,P.S. 035 Nathaniel Woodhull,5,0,0,5,40.7137645,-73.76891820000002
29Q037,Cynthia Jenkins School,4,0,0,4,40.6761285,-73.758684
29Q052,P.S. 052 Queens,6,0,6,0,40.6613327,-73.7668134
29Q095,P.S. 095 Eastwood,5,0,3,2,40.71128789999999,-73.7832822
29Q131,P.S. 131 Abigail Adams,6,0,6,0,40.7170794,-73.7938463
29Q251,P.S. 251 Queens,1,0,0,1,40.6651662,-73.7596616
29Q259,Pathways College Preparatory School,6,0,2,4,40.70573419999999,-73.75300589999999
